Vivado Simulator 2019.1
Match [33]: 18dc
Match [34]: 146
Match [35]: 706
Match [36]: 1e00
Match [37]: 1bfe
Match [38]: aea
Match [39]: 1efe
Match [40]: 1c59
Match [41]: 104e
Match [42]: 1b9a
Match [43]: acc
Match [44]: 431
Match [45]: 1a51
Match [46]: 14ab
Match [47]: 14e3
Match [48]: 16ee
Match [49]: 37e
Match [50]: 1ff3
Match [51]: 18d9
Match [52]: 1151
Match [53]: 1ba3
Match [54]: ecb
Match [55]: 1685
Match [56]: 1802
Match [57]: 838
Match [58]: 16f0
Match [59]: 1da5
Match [60]: 1141
Match [61]: fcb
Match [62]: 1bdc
Match [63]: 1f6
RESULT CORRECT: (A*B - B) mod 16 bits
Match [0]: ac7
Match [1]: 5e6
Match [2]: da4
Match [3]: 96d
Match [4]: baa
Match [5]: 98c
Match [6]: 1a51
Match [7]: 1063
Match [8]: 9b
Match [9]: 1780
Match [10]: 590
Match [11]: 1501
Match [12]: fdb
Match [13]: db9
Match [14]: 1130
Match [15]: a85
Match [16]: 12a
Match [17]: 63e
Match [18]: 1393
Match [19]: efc
Match [20]: 597
Match [21]: 1b2f
Match [22]: 6c1
Match [23]: 1580
Match [24]: 1319
Match [25]: 15c1
Match [26]: 1d8
Match [27]: 1cf9
Match [28]: 972
Match [29]: 922
Match [30]: 199c
Match [31]: a5e
Match [32]: add
Match [33]: 18dc
Match [34]: 146
Match [35]: 706
Match [36]: 1e00
Match [37]: 1bfe
Match [38]: aea
Match [39]: 1efe
Match [40]: 1c59
Match [41]: 104e
Match [42]: 1b9a
Match [43]: acc
Match [44]: 431
Match [45]: 1a51
Match [46]: 14ab
Match [47]: 14e3
Match [48]: 16ee
Match [49]: 37e
Match [50]: 1ff3
Match [51]: 18d9
Match [52]: 1151
Match [53]: 1ba3
Match [54]: ecb
Match [55]: 1685
Match [56]: 1802
Match [57]: 838
Match [58]: 16f0
Match [59]: 1da5
Match [60]: 1141
Match [61]: fcb
Match [62]: 1bdc
Match [63]: 1f6
RESULT CORRECT: (A*B - B) mod 16 bits
Match [0]: ac7
Match [1]: 5e6
Match [2]: da4
Match [3]: 96d
Match [4]: baa
Match [5]: 98c
Match [6]: 1a51
Match [7]: 1063
Match [8]: 9b
Match [9]: 1780
Match [10]: 590
Match [11]: 1501
Match [12]: fdb
Match [13]: db9
Match [14]: 1130
Match [15]: a85
Match [16]: 12a
Match [17]: 63e
Match [18]: 1393
Match [19]: efc
Match [20]: 597
Match [21]: 1b2f
Match [22]: 6c1
Match [23]: 1580
Match [24]: 1319
Match [25]: 15c1
Match [26]: 1d8
Match [27]: 1cf9
Match [28]: 972
Match [29]: 922
Match [30]: 199c
Match [31]: a5e
Match [32]: add
Match [33]: 18dc
Match [34]: 146
Match [35]: 706
Match [36]: 1e00
Match [37]: 1bfe
Match [38]: aea
Match [39]: 1efe
Match [40]: 1c59
Match [41]: 104e
Match [42]: 1b9a
Match [43]: acc
Match [44]: 431
Match [45]: 1a51
Match [46]: 14ab
Match [47]: 14e3
Match [48]: 16ee
Match [49]: 37e
Match [50]: 1ff3
Match [51]: 18d9
Match [52]: 1151
Match [53]: 1ba3
Match [54]: ecb
Match [55]: 1685
Match [56]: 1802
Match [57]: 838
Match [58]: 16f0
Match [59]: 1da5
Match [60]: 1141
Match [61]: fcb
Match [62]: 1bdc
Match [63]: 1f6
RESULT CORRECT: (A*B - B) mod 16 bits
Match [0]: ac7
Match [1]: 5e6
Match [2]: da4
Match [3]: 96d
Match [4]: baa
Match [5]: 98c
Match [6]: 1a51
Match [7]: 1063
Match [8]: 9b
Match [9]: 1780
Match [10]: 590
Match [11]: 1501
Match [12]: fdb
Match [13]: db9
Match [14]: 1130
Match [15]: a85
Match [16]: 12a
Match [17]: 63e
Match [18]: 1393
Match [19]: efc
Match [20]: 597
Match [21]: 1b2f
Match [22]: 6c1
Match [23]: 1580
Match [24]: 1319
Match [25]: 15c1
Match [26]: 1d8
Match [27]: 1cf9
Match [28]: 972
Match [29]: 922
Match [30]: 199c
Match [31]: a5e
Match [32]: add
Match [33]: 18dc
Match [34]: 146
Match [35]: 706
Match [36]: 1e00
Match [37]: 1bfe
Match [38]: aea
Match [39]: 1efe
Match [40]: 1c59
Match [41]: 104e
Match [42]: 1b9a
Match [43]: acc
Match [44]: 431
Match [45]: 1a51
Match [46]: 14ab
Match [47]: 14e3
Match [48]: 16ee
Match [49]: 37e
Match [50]: 1ff3
Match [51]: 18d9
Match [52]: 1151
Match [53]: 1ba3
Match [54]: ecb
Match [55]: 1685
Match [56]: 1802
Match [57]: 838
Match [58]: 16f0
Match [59]: 1da5
Match [60]: 1141
Match [61]: fcb
Match [62]: 1bdc
Match [63]: 1f6
RESULT CORRECT: (A*B - B) mod 16 bits
Match [0]: ac7
Match [1]: 5e6
Match [2]: da4
Match [3]: 96d
Match [4]: baa
Match [5]: 98c
Match [6]: 1a51
Match [7]: 1063
Match [8]: 9b
Match [9]: 1780
Match [10]: 590
Match [11]: 1501
Match [12]: fdb
Match [13]: db9
Match [14]: 1130
Match [15]: a85
Match [16]: 12a
Match [17]: 63e
Match [18]: 1393
Match [19]: efc
Match [20]: 597
Match [21]: 1b2f
Match [22]: 6c1
Match [23]: 1580
Match [24]: 1319
Match [25]: 15c1
Match [26]: 1d8
Match [27]: 1cf9
Match [28]: 972
Match [29]: 922
Match [30]: 199c
Match [31]: a5e
Match [32]: add
Match [33]: 18dc
Match [34]: 146
Match [35]: 706
Match [36]: 1e00
Match [37]: 1bfe
Match [38]: aea
Match [39]: 1efe
Match [40]: 1c59
Match [41]: 104e
Match [42]: 1b9a
Match [43]: acc
Match [44]: 431
Match [45]: 1a51
Match [46]: 14ab
Match [47]: 14e3
Match [48]: 16ee
Match [49]: 37e
Match [50]: 1ff3
Match [51]: 18d9
Match [52]: 1151
Match [53]: 1ba3
Match [54]: ecb
Match [55]: 1685
Match [56]: 1802
Match [57]: 838
Match [58]: 16f0
Match [59]: 1da5
Match [60]: 1141
Match [61]: fcb
Match [62]: 1bdc
Match [63]: 1f6
RESULT CORRECT: (A*B - B) mod 16 bits
Match [0]: ac7
Match [1]: 5e6
Match [2]: da4
Match [3]: 96d
Match [4]: baa
Match [5]: 98c
Match [6]: 1a51
Match [7]: 1063
Match [8]: 9b
Match [9]: 1780
Match [10]: 590
Match [11]: 1501
Match [12]: fdb
Match [13]: db9
Match [14]: 1130
Match [15]: a85
Match [16]: 12a
Match [17]: 63e
Match [18]: 1393
Match [19]: efc
Match [20]: 597
Match [21]: 1b2f
Match [22]: 6c1
Match [23]: 1580
Match [24]: 1319
Match [25]: 15c1
Match [26]: 1d8
Match [27]: 1cf9
Match [28]: 972
Match [29]: 922
Match [30]: 199c
Match [31]: a5e
Match [32]: add
Match [33]: 18dc
Match [34]: 146
Match [35]: 706
Match [36]: 1e00
Match [37]: 1bfe
Match [38]: aea
Match [39]: 1efe
Match [40]: 1c59
Match [41]: 104e
Match [42]: 1b9a
Match [43]: acc
Match [44]: 431
Match [45]: 1a51
Match [46]: 14ab
Match [47]: 14e3
Match [48]: 16ee
Match [49]: 37e
Match [50]: 1ff3
Match [51]: 18d9
Match [52]: 1151
Match [53]: 1ba3
Match [54]: ecb
Match [55]: 1685
Match [56]: 1802
Match [57]: 838
Match [58]: 16f0
Match [59]: 1da5
Match [60]: 1141
Match [61]: fcb
Match [62]: 1bdc
Match [63]: 1f6
RESULT CORRECT: (A*B - B) mod 16 bits
Mismatch [0]: expected=b37, got=1f6
Mismatch [1]: expected=192d, got=0
Mismatch [2]: expected=17fe, got=0
Mismatch [3]: expected=1cb6, got=0
Mismatch [4]: expected=b54, got=0
Mismatch [5]: expected=1ce4, got=0
Mismatch [6]: expected=208, got=0
Mismatch [7]: expected=1a89, got=0
Mismatch [8]: expected=102f, got=0
Mismatch [9]: expected=8a7, got=41
Mismatch [10]: expected=3a1, got=41
Mismatch [11]: expected=339, got=41
Mismatch [12]: expected=16e1, got=41
Mismatch [13]: expected=f7d, got=41
Mismatch [14]: expected=1d2, got=41
Mismatch [15]: expected=820, got=41
Mismatch [16]: expected=1739, got=41
Mismatch [17]: expected=1c49, got=0
Mismatch [18]: expected=1126, got=0
Mismatch [19]: expected=290, got=0
Mismatch [20]: expected=756, got=0
Mismatch [21]: expected=ee8, got=4
Mismatch [22]: expected=19c3, got=8
Mismatch [23]: expected=1e38, got=8
Mismatch [24]: expected=c76, got=0
Mismatch [25]: expected=8a5, got=1d7c
Mismatch [26]: expected=16bf, got=1d7c
Mismatch [27]: expected=1d92, got=1d84
Mismatch [28]: expected=a95, got=1d84
Mismatch [29]: expected=899, got=1d8c
Mismatch [30]: expected=1bc0, got=1d8c
Mismatch [31]: expected=1af5, got=1d94
Mismatch [32]: expected=155a, got=1d94
Mismatch [33]: expected=d15, got=20
Mismatch [34]: expected=10da, got=0
Mismatch [35]: expected=7ce, got=41
Mismatch [36]: expected=de8, got=41
Mismatch [37]: expected=1def, got=41
Mismatch [38]: expected=b27, got=154
Mismatch [39]: expected=5e, got=d6c
Mismatch [40]: expected=1706, got=13a4
Mismatch [41]: expected=13b5, got=718
Mismatch [42]: expected=1412, got=dac
Mismatch [43]: expected=32, got=1e58
Mismatch [44]: expected=19c6, got=574
Mismatch [45]: expected=dcc, got=530
Mismatch [46]: expected=1d85, got=8fc
Mismatch [47]: expected=484, got=6c
Mismatch [48]: expected=1361, got=197c
Mismatch [49]: expected=1266, got=102
Mismatch [50]: expected=9e2, got=659
Mismatch [51]: expected=dcf, got=1cf2
Mismatch [52]: expected=1b36, got=3f
Mismatch [53]: expected=716, got=1144
Mismatch [54]: expected=2ad, got=aeb
Mismatch [55]: expected=478, got=9c5
Mismatch [56]: expected=13e0, got=717
Mismatch [57]: expected=17e8, got=fbe
Mismatch [58]: expected=7a0, got=307
Mismatch [59]: expected=a34, got=dce
Mismatch [60]: expected=4a8, got=f61
Mismatch [61]: expected=1c0d, got=83c
Mismatch [62]: expected=12d, got=1c85
Mismatch [63]: expected=bba, got=173b
Total mismatches: 64
=== SECOND RUN (mode_sw = 0) DONE ===
Mismatch [0]: expected=b37, got=1f6
Mismatch [1]: expected=192d, got=0
Mismatch [2]: expected=17fe, got=0
Mismatch [3]: expected=1cb6, got=0
Mismatch [4]: expected=b54, got=0
Mismatch [5]: expected=1ce4, got=0
Mismatch [6]: expected=208, got=0
Mismatch [7]: expected=1a89, got=0
Mismatch [8]: expected=102f, got=0
Mismatch [9]: expected=8a7, got=41
Mismatch [10]: expected=3a1, got=41
Mismatch [11]: expected=339, got=41
Mismatch [12]: expected=16e1, got=41
Mismatch [13]: expected=f7d, got=41
Mismatch [14]: expected=1d2, got=41
Mismatch [15]: expected=820, got=41
Mismatch [16]: expected=1739, got=41
Mismatch [17]: expected=1c49, got=0
Mismatch [18]: expected=1126, got=0
Mismatch [19]: expected=290, got=0
Mismatch [20]: expected=756, got=0
Mismatch [21]: expected=ee8, got=4
Mismatch [22]: expected=19c3, got=8
Mismatch [23]: expected=1e38, got=8
Mismatch [24]: expected=c76, got=0
Mismatch [25]: expected=8a5, got=1d7c
Mismatch [26]: expected=16bf, got=1d7c
Mismatch [27]: expected=1d92, got=1d84
Mismatch [28]: expected=a95, got=1d84
Mismatch [29]: expected=899, got=1d8c
Mismatch [30]: expected=1bc0, got=1d8c
Mismatch [31]: expected=1af5, got=1d94
Mismatch [32]: expected=155a, got=1d94
Mismatch [33]: expected=d15, got=20
Mismatch [34]: expected=10da, got=0
Mismatch [35]: expected=7ce, got=41
Mismatch [36]: expected=de8, got=41
Mismatch [37]: expected=1def, got=41
Mismatch [38]: expected=b27, got=154
Mismatch [39]: expected=5e, got=d6c
Mismatch [40]: expected=1706, got=13a4
Mismatch [41]: expected=13b5, got=718
Mismatch [42]: expected=1412, got=dac
Mismatch [43]: expected=32, got=1e58
Mismatch [44]: expected=19c6, got=574
Mismatch [45]: expected=dcc, got=530
Mismatch [46]: expected=1d85, got=8fc
Mismatch [47]: expected=484, got=6c
Mismatch [48]: expected=1361, got=197c
Mismatch [49]: expected=1266, got=102
Mismatch [50]: expected=9e2, got=659
Mismatch [51]: expected=dcf, got=1cf2
Mismatch [52]: expected=1b36, got=3f
Mismatch [53]: expected=716, got=1144
Mismatch [54]: expected=2ad, got=aeb
Mismatch [55]: expected=478, got=9c5
Mismatch [56]: expected=13e0, got=717
Mismatch [57]: expected=17e8, got=fbe
Mismatch [58]: expected=7a0, got=307
Mismatch [59]: expected=a34, got=dce
Mismatch [60]: expected=4a8, got=f61
Mismatch [61]: expected=1c0d, got=83c
Mismatch [62]: expected=12d, got=1c85
Mismatch [63]: expected=bba, got=173b
Total mismatches: 64
Mismatch [0]: expected=b37, got=1f6
Mismatch [1]: expected=192d, got=0
Mismatch [2]: expected=17fe, got=0
Mismatch [3]: expected=1cb6, got=0
Mismatch [4]: expected=b54, got=0
Mismatch [5]: expected=1ce4, got=0
Mismatch [6]: expected=208, got=0
Mismatch [7]: expected=1a89, got=0
Mismatch [8]: expected=102f, got=0
Mismatch [9]: expected=8a7, got=41
Mismatch [10]: expected=3a1, got=41
Mismatch [11]: expected=339, got=41
Mismatch [12]: expected=16e1, got=41
Mismatch [13]: expected=f7d, got=41
Mismatch [14]: expected=1d2, got=41
Mismatch [15]: expected=820, got=41
Mismatch [16]: expected=1739, got=41
Mismatch [17]: expected=1c49, got=0
Mismatch [18]: expected=1126, got=0
Mismatch [19]: expected=290, got=0
Mismatch [20]: expected=756, got=0
Mismatch [21]: expected=ee8, got=4
Mismatch [22]: expected=19c3, got=8
Mismatch [23]: expected=1e38, got=8
Mismatch [24]: expected=c76, got=0
Mismatch [25]: expected=8a5, got=1d7c
Mismatch [26]: expected=16bf, got=1d7c
Mismatch [27]: expected=1d92, got=1d84
Mismatch [28]: expected=a95, got=1d84
Mismatch [29]: expected=899, got=1d8c
Mismatch [30]: expected=1bc0, got=1d8c
Mismatch [31]: expected=1af5, got=1d94
Mismatch [32]: expected=155a, got=1d94
Mismatch [33]: expected=d15, got=20
Mismatch [34]: expected=10da, got=0
Mismatch [35]: expected=7ce, got=41
Mismatch [36]: expected=de8, got=41
Mismatch [37]: expected=1def, got=41
Mismatch [38]: expected=b27, got=154
Mismatch [39]: expected=5e, got=d6c
Mismatch [40]: expected=1706, got=13a4
Mismatch [41]: expected=13b5, got=718
Mismatch [42]: expected=1412, got=dac
Mismatch [43]: expected=32, got=1e58
Mismatch [44]: expected=19c6, got=574
Mismatch [45]: expected=dcc, got=530
Mismatch [46]: expected=1d85, got=8fc
Mismatch [47]: expected=484, got=6c
Mismatch [48]: expected=1361, got=197c
Mismatch [49]: expected=1266, got=102
Mismatch [50]: expected=9e2, got=659
Mismatch [51]: expected=dcf, got=1cf2
Mismatch [52]: expected=1b36, got=3f
Mismatch [53]: expected=716, got=1144
Mismatch [54]: expected=2ad, got=aeb
Mismatch [55]: expected=478, got=9c5
Mismatch [56]: expected=13e0, got=717
Mismatch [57]: expected=17e8, got=fbe
Mismatch [58]: expected=7a0, got=307
Mismatch [59]: expected=a34, got=dce
Mismatch [60]: expected=4a8, got=f61
Mismatch [61]: expected=1c0d, got=83c
Mismatch [62]: expected=12d, got=1c85
Mismatch [63]: expected=bba, got=173b
Total mismatches: 64
Mismatch [0]: expected=b37, got=1f6
Mismatch [1]: expected=192d, got=0
Mismatch [2]: expected=17fe, got=0
Mismatch [3]: expected=1cb6, got=0
Mismatch [4]: expected=b54, got=0
Mismatch [5]: expected=1ce4, got=0
Mismatch [6]: expected=208, got=0
Mismatch [7]: expected=1a89, got=0
Mismatch [8]: expected=102f, got=0
Mismatch [9]: expected=8a7, got=41
Mismatch [10]: expected=3a1, got=41
Mismatch [11]: expected=339, got=41
Mismatch [12]: expected=16e1, got=41
Mismatch [13]: expected=f7d, got=41
Mismatch [14]: expected=1d2, got=41
Mismatch [15]: expected=820, got=41
Mismatch [16]: expected=1739, got=41
Mismatch [17]: expected=1c49, got=0
Mismatch [18]: expected=1126, got=0
Mismatch [19]: expected=290, got=0
Mismatch [20]: expected=756, got=0
Mismatch [21]: expected=ee8, got=4
Mismatch [22]: expected=19c3, got=8
Mismatch [23]: expected=1e38, got=8
Mismatch [24]: expected=c76, got=0
Mismatch [25]: expected=8a5, got=1d7c
Mismatch [26]: expected=16bf, got=1d7c
Mismatch [27]: expected=1d92, got=1d84
Mismatch [28]: expected=a95, got=1d84
Mismatch [29]: expected=899, got=1d8c
Mismatch [30]: expected=1bc0, got=1d8c
Mismatch [31]: expected=1af5, got=1d94
Mismatch [32]: expected=155a, got=1d94
Mismatch [33]: expected=d15, got=20
Mismatch [34]: expected=10da, got=0
Mismatch [35]: expected=7ce, got=41
Mismatch [36]: expected=de8, got=41
Mismatch [37]: expected=1def, got=41
Mismatch [38]: expected=b27, got=154
Mismatch [39]: expected=5e, got=d6c
Mismatch [40]: expected=1706, got=13a4
Mismatch [41]: expected=13b5, got=718
Mismatch [42]: expected=1412, got=dac
Mismatch [43]: expected=32, got=1e58
Mismatch [44]: expected=19c6, got=574
Mismatch [45]: expected=dcc, got=530
Mismatch [46]: expected=1d85, got=8fc
Mismatch [47]: expected=484, got=6c
Mismatch [48]: expected=1361, got=197c
Mismatch [49]: expected=1266, got=102
Mismatch [50]: expected=9e2, got=659
Mismatch [51]: expected=dcf, got=1cf2
Mismatch [52]: expected=1b36, got=3f
Mismatch [53]: expected=716, got=1144
Mismatch [54]: expected=2ad, got=aeb
Mismatch [55]: expected=478, got=9c5
Mismatch [56]: expected=13e0, got=717
Mismatch [57]: expected=17e8, got=fbe
Mismatch [58]: expected=7a0, got=307
Mismatch [59]: expected=a34, got=dce
Mismatch [60]: expected=4a8, got=f61
Mismatch [61]: expected=1c0d, got=83c
Mismatch [62]: expected=12d, got=1c85
Mismatch [63]: expected=bba, got=173b
Total mismatches: 64
Mismatch [0]: expected=b37, got=1f6
Mismatch [1]: expected=192d, got=0
Mismatch [2]: expected=17fe, got=0
Mismatch [3]: expected=1cb6, got=0
Mismatch [4]: expected=b54, got=0
Mismatch [5]: expected=1ce4, got=0
Mismatch [6]: expected=208, got=0
Mismatch [7]: expected=1a89, got=0
Mismatch [8]: expected=102f, got=0
Mismatch [9]: expected=8a7, got=41
Mismatch [10]: expected=3a1, got=41
Mismatch [11]: expected=339, got=41
Mismatch [12]: expected=16e1, got=41
Mismatch [13]: expected=f7d, got=41
Mismatch [14]: expected=1d2, got=41
Mismatch [15]: expected=820, got=41
Mismatch [16]: expected=1739, got=41
Mismatch [17]: expected=1c49, got=0
Mismatch [18]: expected=1126, got=0
Mismatch [19]: expected=290, got=0
Mismatch [20]: expected=756, got=0
Mismatch [21]: expected=ee8, got=4
Mismatch [22]: expected=19c3, got=8
Mismatch [23]: expected=1e38, got=8
Mismatch [24]: expected=c76, got=0
Mismatch [25]: expected=8a5, got=1d7c
Mismatch [26]: expected=16bf, got=1d7c
Mismatch [27]: expected=1d92, got=1d84
Mismatch [28]: expected=a95, got=1d84
Mismatch [29]: expected=899, got=1d8c
Mismatch [30]: expected=1bc0, got=1d8c
Mismatch [31]: expected=1af5, got=1d94
Mismatch [32]: expected=155a, got=1d94
Mismatch [33]: expected=d15, got=20
Mismatch [34]: expected=10da, got=0
Mismatch [35]: expected=7ce, got=41
Mismatch [36]: expected=de8, got=41
Mismatch [37]: expected=1def, got=41
Mismatch [38]: expected=b27, got=154
Mismatch [39]: expected=5e, got=d6c
Mismatch [40]: expected=1706, got=13a4
Mismatch [41]: expected=13b5, got=718
Mismatch [42]: expected=1412, got=dac
Mismatch [43]: expected=32, got=1e58
Mismatch [44]: expected=19c6, got=574
Mismatch [45]: expected=dcc, got=530
Mismatch [46]: expected=1d85, got=8fc
Mismatch [47]: expected=484, got=6c
Mismatch [48]: expected=1361, got=197c
Mismatch [49]: expected=1266, got=102
Mismatch [50]: expected=9e2, got=659
Mismatch [51]: expected=dcf, got=1cf2
Mismatch [52]: expected=1b36, got=3f
Mismatch [53]: expected=716, got=1144
Mismatch [54]: expected=2ad, got=aeb
Mismatch [55]: expected=478, got=9c5
Mismatch [56]: expected=13e0, got=717
Mismatch [57]: expected=17e8, got=fbe
Mismatch [58]: expected=7a0, got=307
Mismatch [59]: expected=a34, got=dce
Mismatch [60]: expected=4a8, got=f61
Mismatch [61]: expected=1c0d, got=83c
Mismatch [62]: expected=12d, got=1c85
Mismatch [63]: expected=bba, got=173b
Total mismatches: 64
Mismatch [0]: expected=b37, got=1f6
Mismatch [1]: expected=192d, got=0
Mismatch [2]: expected=17fe, got=0
Mismatch [3]: expected=1cb6, got=0
Mismatch [4]: expected=b54, got=0
Mismatch [5]: expected=1ce4, got=0
Mismatch [6]: expected=208, got=0
Mismatch [7]: expected=1a89, got=0
Mismatch [8]: expected=102f, got=0
Mismatch [9]: expected=8a7, got=41
Mismatch [10]: expected=3a1, got=41
Mismatch [11]: expected=339, got=41
Mismatch [12]: expected=16e1, got=41
Mismatch [13]: expected=f7d, got=41
Mismatch [14]: expected=1d2, got=41
Mismatch [15]: expected=820, got=41
Mismatch [16]: expected=1739, got=41
Mismatch [17]: expected=1c49, got=0
Mismatch [18]: expected=1126, got=0
Mismatch [19]: expected=290, got=0
Mismatch [20]: expected=756, got=0
Mismatch [21]: expected=ee8, got=4
Mismatch [22]: expected=19c3, got=8
Mismatch [23]: expected=1e38, got=8
Mismatch [24]: expected=c76, got=0
